collection,field_group,canonical_authority,sync_direction,twenty_behavior,data_classification,source_citation
executives,"Name, email, phone, location, website, tagline, industry, candidate description, profile media",DIRECTUS_AUTHORITATIVE,Inbound,Project into person/executiveProfile; preserve source ownership,Candidate self-authored professional data,uploaded-artifact-1.md:181
executives,"Experience, education, skills, languages, board service, preferences",DIRECTUS_AUTHORITATIVE,Inbound,Normalize into related Twenty records with Directus IDs,Candidate self-authored professional data,uploaded-artifact-1.md:182
executives,"Relationship owner/strength, internal source notes, off-limits, conflicts, internal assessment, candidacy, client feedback, placement",TWENTY_AUTHORITATIVE,None_outbound,Never send to Directus except approved candidate-visible status,Search-firm internal relationship data,uploaded-artifact-1.md:183
executives,"Birthdate, gender, voluntary demographics",DIRECTUS_AUTHORITATIVE,NO_SYNC_SELECTION,Reference only for approved compliance process,Restricted voluntary demographics,uploaded-artifact-1.md:184
executives,"Subscription tier, premium status, plan level, usage limits, Stripe/payment data",DIRECTUS_AUTHORITATIVE,NOT_ALLOWED_TO_SYNC,"Automated tests must prove non-use in search, AI, stage, slate, presentation",Commercial/subscription data,uploaded-artifact-1.md:185
executives,"Authentication fields (password, token, TFA secret, OTP)",DIRECTUS_AUTHORITATIVE,NOT_ALLOWED_TO_SYNC,Never copy into ATS records,Authentication/security secret,uploaded-artifact-1.md:186
executives,ats_uuid,TWENTY_AUTHORITATIVE,Outbound_verified,Twenty record UUID after explicit verification; never overwrite non-null,Integration identifier,uploaded-artifact-1.md:24-26
companies,Public brand/name/logo/description/website/industry/headquarters,SPLIT_BY_FIELD,Bidirectional,Match to Twenty company; outbound publish only approved public projection,Public company data,uploaded-artifact-1.md:192
companies,"Client stakeholders, account strategy, relationship owner, BD history, fees, contracts, off-limits, conflicts, satisfaction",TWENTY_AUTHORITATIVE,None_outbound,Internal only,Client-confidential assignment data,uploaded-artifact-1.md:193
companies,Founder/product/report content,DIRECTUS_AUTHORITATIVE,Optional_inbound,Optional research artifact with source and freshness,Public company data,uploaded-artifact-1.md:194
companies,Freshsales/source IDs,DIRECTUS_AUTHORITATIVE,REFERENCE_ONLY_NO_REPLICATION,Preserve as external identifiers; never silently replace,Integration identifier,uploaded-artifact-1.md:195
companies,ats_uuid,TWENTY_AUTHORITATIVE,Outbound_verified,Twenty record UUID after verification,Integration identifier,uploaded-artifact-1.md:24-26
opportunities,"Published role title, description, requirements, public-facing position data",TWENTY_AUTHORITATIVE,Outbound_publish,Twenty publishes approved projection to Directus after cutover,Public opportunity data,uploaded-artifact-1.md:138
opportunities,ats_uuid,TWENTY_AUTHORITATIVE,Outbound_verified,Twenty record UUID after verification,Integration identifier,uploaded-artifact-1.md:24-26
opportunities,Existing Directus records during migration,DIRECTUS_AUTHORITATIVE,Controlled_migration,"Inbound during initial migration, then outbound after cutover",Migration state,uploaded-artifact-1.md:138
applications,"Candidate application, answers, attached files, submitted/withdrawn state",DIRECTUS_AUTHORITATIVE,Inbound,Linked to Twenty searchCandidacy,Candidate self-authored professional data,uploaded-artifact-1.md:210
applications,"Internal candidacy stage, research status, relationship ownership, consultant notes, client feedback",TWENTY_AUTHORITATIVE,None_outbound,Never overwrite from application JSON; never expose wholesale to Directus,Candidate-confidential candidacy data,uploaded-artifact-1.md:211
applications,Candidate-visible status/action request,TWENTY_AUTHORITATIVE,Outbound_narrow_projection,Through versioned status map,Candidate-visible candidacy data,uploaded-artifact-1.md:212
applications,Stage history,APPEND_ONLY_BOTH_WITH_SHARED_IDEMPOTENCY,Initial_inbound_future_outbound,Backfill Directus events; future Twenty events emit candidate-visible mirrors,Audit/retention data,uploaded-artifact-1.md:213
scheduled_interviews,Candidate availability and confirmation,DIRECTUS_AUTHORITATIVE,Inbound,Candidate-authored; inbound to Twenty,Candidate self-authored professional data,uploaded-artifact-1.md:219
scheduled_interviews,"Internal interview plan, participants, scorecards, feedback due, confidentiality",TWENTY_AUTHORITATIVE,None_outbound,Internal only unless explicitly shared,Client-confidential assignment data,uploaded-artifact-1.md:220
