Account id,Account name,Account website,Account domain,Description,Account picture,Size,Last interaction,Creation date,Modification date,Hotness,Last interaction type,Last interaction date,Last email date,Last meeting date,Social profile type,Social profile url,Social profile username,Social profile 2 type,Social profile 2 url,Social profile 2 username,Social profile 3 type,Social profile 3 url,Social profile 3 username,Social profile 4 type,Social profile 4 url,Social profile 4 username,Social profile 5 type,Social profile 5 url,Social profile 5 username,LinkedIn,Twitter,Facebook,Street,Zip/Postal code,City,State/Region,Country,Street 2,Zip/Postal code 2,City 2,State/Region 2,Country 2,Street 3,Zip/Postal code 3,City 3,State/Region 3,Country 3,Street 4,Zip/Postal code 4,City 4,State/Region 4,Country 4,Street 5,Zip/Postal code 5,City 5,State/Region 5,Country 5,Account email,Account emails,Phone,Mobile phone,Home phone,Fax phone,Phone numbers,Tags,Parent account name,Org nummer,Employees,Manager,Note,One liner,Subject mail,monthly cost,SlackThread_id,Need,Status,Pains,reviewSummary,reviewRating,Champion
13450067,Weassist,,,,https://logo.salesflare.com/dc147ff42bfca9c219e8dfa6f60d8859--b1ac78672979c326cf31db945fc17ec4,,2026-01-09 15:24:48,2024-06-19 11:20:09,2026-01-09 15:25:02,,email,2026-01-09 15:24:48,2026-01-09 15:24:48,2026-01-07 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12826034,Smartout,https://smartout.no,smartout.no,,https://lib.salesflare.com/avatars/account4abf70aa4a575cd0e85cb5a08ae477f7625e026db0233e8adc73405ce52575e2.png?modified=1756204133692,,2026-01-09 15:24:48,2024-02-01 18:33:46,2026-01-09 15:25:02,,email,2026-01-09 15:24:48,2026-01-09 15:24:48,2026-01-07 13:00:00,linkedin,https://www.linkedin.com/company/smartout-no,smartout-no,,,,,,,,,,,,,https://www.linkedin.com/company/smartout-no,,,,,,,,,,,,,,,,,,,,,,,,,,,,post@smartout.no,post@smartout.no,,,,,,,,,,,,,,,,,,,,,
13648081,EasyQode,,,,https://logo.salesflare.com/f6502c3427a35b8c7d24992649b9ef83--21ee4553c5e26a6b82d915b5e360b973,,2026-01-09 09:00:00,2024-09-10 08:52:55,2026-01-09 09:00:16,,meeting-live,2026-01-09 09:00:00,2025-12-21 13:03:54,2026-01-09 09:00:00,instagram,https://www.instagram.com/easyqode,easyqode,linkedin,https://www.linkedin.com/company/easyqode,easyqode,,,,,,,,,,https://www.linkedin.com/company/easyqode,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitor@easyqode.app,vitor@easyqode.app,,,,,,,,,,,,,,,,,,,,,
12824661,optima-bad.no,https://optima-bad.no,optima-bad.no,,https://logo.salesflare.com/f666dce4e82beb7b646446d3be5cf5a4--29f2b7b5678fb522708fa732549424d3,,2026-01-07 13:00:00,2024-02-01 14:47:33,2026-01-07 13:00:12,,meeting-live,2026-01-07 13:00:00,2025-12-17 18:22:02,2026-01-07 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14385841,Dønner bros,,,,https://logo.salesflare.com/1764979e6bb7d120d7697dc0823c5f09--3dcb67c210ecebe77e6abe596906738a,,2026-01-07 12:26:54,2025-08-21 18:56:33,2026-01-07 13:27:27,,email,2026-01-07 12:26:54,2025-10-06 05:05:31,2025-11-18 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12878216,Calendly,,,,https://logo.salesflare.com/797d2d0e289947574f93d13b16958631--5347405714281e05ab395c4b49bcd481,,2026-01-07 12:19:11,2024-02-19 11:13:47,2026-01-07 13:23:14,,email,2026-01-07 12:19:11,2025-12-07 12:19:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auto workflow 1, Test tag",,,,,,Vi snakket sammen per tlf 13.9.24 og som avtalt sender jeg en epost.,,,,,,,,,
14385208,Smartstack,,,Dette er en kommentar,https://logo.salesflare.com/ff86f7cf4c2079e553481d037b6e022f--b6b0b2a2b6388e52df2f2fc810a78255,,2026-01-06 20:35:28,2025-08-20 16:29:40,2026-01-07 13:27:26,,email,2026-01-06 20:35:28,2025-11-13 21:04:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dev@smartout.no,dev@smartout.no,+47 94 16 85 61,,,,+47 94 16 85 61,"Calendly, Expandic",,,,,,,,,,,,,,,
12826077,Forside,http://ligaarden.no,ligaarden.no,,https://logo.salesflare.com/dfe2b2e113e58d396a60a0df1ef99410--997c2a3af0bcde9a41bd34c4ad71103a,,2026-01-06 05:52:34,2024-02-01 18:57:47,2026-01-07 13:23:11,,email,2026-01-06 05:52:34,2025-04-10 13:56:37,2025-04-24 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+47 941 19 119,,,,+47 941 19 119,,,,,,,,,,,,,,,,
14385839,solidapps.tech,,,,https://logo.salesflare.com/7a9648ef80af70912d9399553f1cdd58--7be8558fe2a1915f6c3dd992584dd988,,2025-12-29 22:52:00,2025-08-21 18:55:59,2026-01-07 13:27:27,,email,2025-12-29 22:52:00,2025-10-22 10:59:18,2025-10-22 14:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13612778,Villa mat,http://villa-mat.no,villa-mat.no,,https://logo.salesflare.com/a2dafd6d8666d2fc69f76e1b3bfcfca2--7ea0f70253c4ea344700ce906d39894e,,2025-12-18 13:00:00,2024-08-22 14:23:21,2026-01-07 13:26:56,,meeting-live,2025-12-18 13:00:00,2025-12-18 13:00:29,2025-12-18 13:00:00,youtube,https://youtube.com/channel/UCSAe2Lgj4S9KcKN9BxIuokQ,UCSAe2Lgj4S9KcKN9BxIuokQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Followup,,,,,,,,,1729846354,,,,,,
