collection,domain,proposed_twenty_target,raw_authority,canonical_authority,normalization_status,normalization_loss,sync,disposition,critical_notes,source,source_line
accommodation_requests,Accommodation,`candidateAccommodationRequest` restricted projection without medical document by default,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Minimal inbound status/task projection,MAPPED,Medical documentation remains in Directus/restricted store. Evaluators must not see it.,uploaded-artifact-1.md,34
ai_ads_acceptance,AI consent,`aiUseConsentReceipt` external reference,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference/state,REFERENCE_ONLY,Verify applicable notice/consent before candidate-affecting AI. Avoid copying browser fingerprint into recruiter UI.,uploaded-artifact-1.md,35
ai_analysis_application_response,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,36
ai_analysis_culture_fit,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,37
ai_analysis_skills,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,38
ai_analysis_strengths,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,39
ai_analysis_success_insights,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,40
ai_application_analysis,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,41
ai_model_registry,AI governance,Canonical/shared `aiModelRegistry` mapping,ADR required: one canonical registry,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Reference or shared synchronization,REFERENCE_ONLY,Do not allow divergent 'current' models across systems.,uploaded-artifact-1.md,42
ai_prompts,Legacy AI prompts,Legacy prompt artifact / migration source,Directus authoritative for existing use,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference or migrate,LEGACY,Do not treat as canonical alongside `prompt_templates` without a versioned mapping.,uploaded-artifact-1.md,43
ai_request_log,AI provider audit,`aiProviderCallLog` or external log reference,Shared governance; avoid unnecessary duplication,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Reference/summary sync,REFERENCE_ONLY,"Full payloads may contain sensitive data. Prefer hashes, metadata, guardrails, latency, provider IDs, and retention policy.",uploaded-artifact-1.md,44
analysis_histories,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,45
application_information_request,Candidate information request,`candidateInformationRequest`,Split: Twenty may initiate; Directus owns candidate answer,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,"Outbound request, inbound answer/state",MAPPED,Use shared request ID and idempotency. Candidate-facing wording is reviewed before send.,uploaded-artifact-1.md,46
